text,sentiment,original_text,processed_text
"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",neutral,"The most popular paper by far was Kesko 's loyal customer magazine Pirkka with 2,462,000 readers .",popular paper far kesko loyal customer magazine pirkka reader
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",neutral,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",process technology project management basic engineering quality assurance within forest industry consolidated vantaa southern finland
The smaller molecules improve the grip of the tyre at top-speed driving .,neutral,The smaller molecules improve the grip of the tyre at top-speed driving .,smaller molecule improve grip tyre top speed driving
The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,positive,The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,social plan negotiation part three year turn around program expected ensure salomon future competitiveness
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral,"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",test conducted nokia siemens lte center competence espoo finland follow company production start lte ready flexi multiradio base station mhz band april complement earlier test nokia mhz mhz band
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,The use case dramatically narrows if you go only with the hot s Ltd.,use case dramatically narrow go hot ltd
"The vessels also have to be environmentally friendly , fast , and have all modern conveniences .",neutral,"The vessels also have to be environmentally friendly , fast , and have all modern conveniences .",vessel also environmentally friendly fast modern convenience
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",thus sysopen digia accordance chapter section finnish company act obtained title share sentera redeemed
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,neutral,Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,today orange scissors iconic symbol excellent ergonomic design superior quality associated every product fiskars
"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",neutral,"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",sound experience project delivery large multi purpose complex sport arena say sami eronen svp infrastructure northern europe ruukki construction
"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",neutral,"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",weber convinced friend ray ostrom owned lake street sporting good store sell lure
"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market .",positive,"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market .",nokia strong track record lower end handset market said july touch screen offering would come year cheaper rival model order tap higher volume market
"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",positive,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",aim ensure vacon good shape capital expenditure start pick comment vacon plc president ceo vesa laisi
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",negative,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",share royal sun alliance continued slide back month high p last month potential suitor ruled takeover bid
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",managing director comment net sale first quarter notably lower year especially finland russia baltic country
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",sale climbed pct bln eur surpassing mln eur consensus figure
"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .",positive,"Suominen Corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of Wet Wipes , will make the company 's operations more profitable .",suominen corporation estimate cost cutting program started autumn higher sale price expected growth volume wet wipe make company operation profitable
"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",positive,"In a release , the Company said that Vocollect T2 customers in North America can now take advantage of its Voice Directed Warehousing solution and increase warehouse efficiency and productivity gains at a discounted price .",release company said vocollect customer north america take advantage voice directed warehousing solution increase warehouse efficiency productivity gain discounted price
"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",neutral,"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",marimekko make sort colorful little impulse buy umbrella baby bib change purse sale better take advantage shopper ca n commit furniture want piece action
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,positive,Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,business boomed ostrom helped plant small story rapala lure life magazine issue featured marilyn monroe cover
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,finnish oko bank signed cooperation agreement raiffeisen concerning finnish company investment russia
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,positive,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,paper maker stora enso oyj said friday acquitted charge participated paper price fixing conspiracy united state
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",cooper sh uk distributor lift equipment manufacturer konecranes five year deal involves low maintenance fuel saving technology
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,metsaliitto said book minor gain less eur transaction
"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",positive,"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation .",negotiation carried constructive manner party tried find solution situation
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,much better process using virgin paper requires less transportation wood pulp place like finland canada
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",positive,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",reporting period biotie north american licensing partner somaxon pharmaceutical announced positive result nalmefene pilot phase clinical trial smoking cessation
"`` Indo-Russia trade can cross the targeted 10 billion dollars by 2010 and double to 20 billion dollars by 2015 , if trade irritants and procedural hassles are resolved , '' the chamber said in its survey on obstacles to trade with Russia .",positive,"`` Indo-Russia trade can cross the targeted 10 billion dollars by 2010 and double to 20 billion dollars by 2015 , if trade irritants and procedural hassles are resolved , '' the chamber said in its survey on obstacles to trade with Russia .",indo russia trade cross targeted billion dollar double billion dollar trade irritant procedural hassle resolved chamber said survey obstacle trade russia
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",positive,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",significant milestone benefon helping u secure critical usp personal navigation product roadmap beyond commented simon button chief technology officer benefon
"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",may finnish electronics producer elcoteq se hel elqav said today signed extensive cooperation agreement industrialisation manufacturing distribution market service mobile phone japan sharp tyo
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",investor continue interested company share although quite cheap affarsvarlden said
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",neutral,"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",swedish telco teliasonera teaming friend swedish organization bullying fight bullying child teenager via electronic channel
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division .",neutral,"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division .",year personal entertainment play significant role determining whether fitness facility workout experience pleasurable chore said brian wilson director marketing precor entertainment service division
`` I see my new post as an inspiring challenge .,neutral,`` I see my new post as an inspiring challenge .,see new post inspiring challenge
"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo .",neutral,"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo .",continue make easier user explore service handset work towards bringing internet wider range device including mid low end device said kallasvuo
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,finland dominating rail company vr planning set infected passenger long distance trip separate carriage
"In complying with the European Water Framework Directive requirements , the pre-treatment unit will be fully renovated , including hydraulics of waste water inception , degridding , sand and grease removal and treatment and deodorization of the unit .",positive,"In complying with the European Water Framework Directive requirements , the pre-treatment unit will be fully renovated , including hydraulics of waste water inception , degridding , sand and grease removal and treatment and deodorization of the unit .",complying european water framework directive requirement pre treatment unit fully renovated including hydraulics waste water inception degridding sand grease removal treatment deodorization unit
Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,neutral,Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,purchase pay solution enable company gain visibility control business critical financial process
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,"So far , Mr. Galvan he has been able to avoid laying off workers .",far mr galvan able avoid laying worker
The agreement must be approved by the Russian competition authorities before it enters into force .,neutral,The agreement must be approved by the Russian competition authorities before it enters into force .,agreement must approved russian competition authority enters force
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,total amount subscription price recorded fund invested non restricted equity
"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",negative,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",super nasty said eric schultze chief technology officer shavlik technology llc st paul minn based maker patch management tool
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",kemira installation nordalu producing ton liquid solid aluminum waste per year
"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",neutral,"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",announced solution unit speed co operation august shifted simonson finance chief low end phone october
"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",neutral,"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",started software capable retrieving data typed computer keyboard keyloggers complex mechanism arrived scene phishing pharming
More than a third of the original participants dropped out due to nausea and other side effects .,negative,More than a third of the original participants dropped out due to nausea and other side effects .,third original participant dropped due nausea side effect
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,neutral,Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,mr skogster currently serf manager responsible abb oy system module low voltage drive
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",finnish company sold uk operation consisting staff office london birmingham manchester part deal hampden july european wide property casualty arm sampo industrial
The StoneGate UTM solution offers protection against inbound and outbound attacks .,positive,The StoneGate UTM solution offers protection against inbound and outbound attacks .,stonegate utm solution offer protection inbound outbound attack
- Counter your competitor 's strengths and target their weaknesses .,neutral,- Counter your competitor 's strengths and target their weaknesses .,counter competitor strength target weakness
An appeal concerning the project has been lodged at the Czech Ministry of the Environment .,neutral,An appeal concerning the project has been lodged at the Czech Ministry of the Environment .,appeal concerning project lodged czech ministry environment
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,aspocomp large factory china factory building project india halted due financing problem
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",neutral,"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",founded bioview automates laboratory test especially diagnostic test cancer
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,negative,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,f secure also point logical weakness sequenced number card approach apparently already utilised
It inspects the companys strategic strengths and weaknesses .,neutral,It inspects the companys strategic strengths and weaknesses .,inspects company strategic strength weakness
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",neutral,"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",even little bit higher yara multiple analyst helsinki said
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral,"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",kesko offer hilton open hotel kalinisky prospect square metre building difficulty
"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data .",neutral,"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data .",key reason read report report contains relevant information leaving excessive data
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,positive,The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,completion recycling plant important link chain creating waste management system dubna region meet eu standard
"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time .",neutral,"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time .",dollar bounced back hitting another record low euro reached first time
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",five storey eco efficient building gross floor area sq also include apartment
"The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft .",neutral,"The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft .",new company buy baltic pearl cjsc lease right hectare construction mall gross area sq million sq ft
The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,negative,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,seawind en route finnish port turku stockholm got stuck ice already around pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short thursday
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",neutral,"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",stena poseidon called panamax tanker designed able pas narrow passage panama canal lock
"Upon completion , Keskuskatu will form the backbone of Helsinki 's pedestrianised downtown area , linking up with the city 's other main pedestrian precincts .",positive,"Upon completion , Keskuskatu will form the backbone of Helsinki 's pedestrianised downtown area , linking up with the city 's other main pedestrian precincts .",upon completion keskuskatu form backbone helsinki pedestrianised downtown area linking city main pedestrian precinct
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",negative,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",uncommonly weak snow condition nearly every market affected first quarter result chief executive roger talermo said
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,negative,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,danish company flsmidth acknowledged violated patent held finnish metso
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",positive,"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",market expecting poor performance company stock percent x ac u early afternoon trading helsinki
The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .,positive,The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 .,layoff aimed reaching annual saving target billion euro billion end
"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",positive,"According to Finnish insurance companies Tapiola , Local Insurance Group ( L+ñhivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance .",according finnish insurance company tapiola local insurance group l nhivakuutus pohjola two fierce storm end july beginning august felled tree around finland speeded sale forest insurance
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",positive,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",excluding non recurring item pre tax profit surged eur
"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",neutral,"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",result cancellation maximum increase citycon share capital basis convertible bond decreased eur eur
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",adp news feb finnish retailer kesko oyj hel kesbv said today total sale excluding value added tax vat stood eur million usd january year yea
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,low capacity utilisation rate steel production considerably increase fixed cost per unit steel produced
"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",positive,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",talentum expects net sale core business increase compared
"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .",positive,"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .",newly formed company yit stavo local contact network expertise market know euro stavokonsult combined yit housing concept said juha kostiainen yit vice president corporate communication business development
A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,positive,A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,euro million investment lewa netted deutsche beteiligungs euro million
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",positive,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",china finnish kone provides elevator escalator solution modernisation maintenance build escalator installed high speed railway section beijing shanghai year time
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .",positive,"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .",according pkc acquisition would bring significant addition pkc customer base
Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive,Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,airbus firm order nonbinding commitment
Aspo 's net sales in 2006 totaled EUR 225.9 million .,neutral,Aspo 's net sales in 2006 totaled EUR 225.9 million .,aspo net sale totaled eur million
"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",positive,"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",end review period nordic aluminium order book stood eur mn compared eur
Both companies ' existing investment plans will be coordinated .,neutral,Both companies ' existing investment plans will be coordinated .,company existing investment plan coordinated
Both the net sales and operating profit were record high in the company 's history .,positive,Both the net sales and operating profit were record high in the company 's history .,net sale operating profit record high company history
E 's building system service had revenue of EUR 355 mln in 2007 .,neutral,E 's building system service had revenue of EUR 355 mln in 2007 .,e building system service revenue eur mln
"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",positive,"Elcoteq 's stock of orders has stabilised in the past weeks , Mr Krippl said .",elcoteq stock order stabilised past week mr krippl said
Export accounts for about one tenth of the company 's annual turnover of one billion kroons .,neutral,Export accounts for about one tenth of the company 's annual turnover of one billion kroons .,export account one tenth company annual turnover one billion kroon
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive,"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",favourable currency rate also contributed higher net sale ceo kari kauniskangas said
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",fiskars year old global business best known orange handled scissors expects derive synergy eur million year consolidating certain part housewares division two compete
"For 2009 , Incap expects revenue of some EUR 70 million .",neutral,"For 2009 , Incap expects revenue of some EUR 70 million .",incap expects revenue eur million
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive,"Full-year net sales are expected to increase by approximately 10 % , the company said .",full year net sale expected increase approximately company said
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral,"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",company net sale amounted approximately eur employee
"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",neutral,"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees .",kone annual net sale eur billion approximately employee
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",positive,"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",addition indian market new plant serve salcomp customer globally company said
"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",positive,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",q april finnish forest machinery equipment maker ponsse oyj hel pon v said today expects swing net profit eur first quarter eur loss year earlier
"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive,"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",beginning year wartsila secured order deliver four gas fuelled main engine propulsion machinery vessel
"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",second quarter net sale operator business partner represented group total net sale
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",india trade russia currently stand four billion dollar growing per cent fiscal
"Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .",positive,"Instead , Elcoteq has signed a non-binding Letter of Intent with another Asian strategic investor .",instead elcoteq signed non binding letter intent another asian strategic investor
International operations accounted for over 80 % of net sales .,neutral,International operations accounted for over 80 % of net sales .,international operation accounted net sale
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",latin america currently account approximately sale finnish bs os va supplier telecom operator tecnotree company president ceo eero mertano told bnamericas
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters .",positive,"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters .",lithuanian beer maker sold million liter beer rise per cent year earlier figure million liter
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,loss tax amounted eur mn compared loss mn
